word	definition	part	chapter	author
šipram epēšum	to do (assigned) work; to work (something: acc.; e.g. eqlam šipram īpus ‘he worked [i.e. plowed] the field’)	idiomatic_expression	12	huehnergard
šiprum (šipir; pl. šiprū and šiprātum, šiprētum [irreg. shift of ā>ē])	 sending, mission; message; work, labor, task; activity, action	noun	12	huehnergard
adi	up to, as far as, until	preposition	13	huehnergard
aḫum aḫam	one (subject)... the other (object) (e.g. aḫum aḫam immar ‘one sees the other’; aḫum ana aḫim ‘one [subject]... to the other’ [e.g. aḫum ana aḫim ul iraggam ‘one will not lay claim against the other’)	idiomatic_expression	13	huehnergard
bābtum (b.f. bābti; pl. bābātum)	 city quarter, neighborhood, district; goods/merchandise outstanding; loss, deficit	noun	13	huehnergard
ebūrum (ebūr) 	harvest(-time); crop; summer	noun	13	huehnergard
ešrētum	(always pl.) tithe	noun	13	huehnergard
ištu pê adi ḫurāṣim	from chaff to gold, i.e. everything	idiomatic_expression	13	huehnergard
nīš X tamûm	to swear by (the life of) X (e.g. nīš šarrim nitma ‘we swore by the life of the king’)	idiomatic_expression	13	huehnergard
nīšum (nīš[i]; log. MU)	 life	noun	13	huehnergard
pûm b (often pl. pû; base pā)	 chaff	noun	13	huehnergard
ragāmum (u and a-u; i.e. durative iraggum or iraggam) 	to shout; to call, summon, demand; to complain (against), sue (s.o.: ana; for/concerning: ana or aššum)	verb	13	huehnergard
rēšum (rēš[i]; dual rēšān [often=sing.] log. SAG)	 top; head; chief, principal; beginning; slave; frontage (property) (in Szlechter, TJA 53-54 UMM H57, p. 371)	noun	13	huehnergard
rugummûm (base rugummā-)	 lawsuit; penalty, fine awarded/assessed in a lawsuit	noun	13	huehnergard
šamšum (šamaš; log. UTU)	 sun	noun	13	huehnergard
tamûm (a)	 to swear, take an oath (by s.o.: acc. or ina); log. IN.PÀD.DÈ.MEŠ = itmû	verb	13	huehnergard
tappûm	(base tappā-; Sum. lw.) business associate, partner (log. TAB.BA)	noun	13	huehnergard
tappût X alākum	to assist X, lend X a hand, come to the aid of X (e.g. tappût aḫīya illikū ‘they assisted my brother’; tappûssu allik ‘I assisted him’)	idiomatic_expression	13	huehnergard
tappûtam epēšum	to do/enter into business together	idiomatic_expression	13	huehnergard
tappûtum (tappût) 	partnership, association; position of helper, partner	noun	13	huehnergard
ûm (gen. îm/êm, acc. âm; b.f. ê; w/sf. nom. û-, gen. î-/ê, acc. â; w/1cs sf., nom.-acc. ê, gen. êya; Sum. lw.?)	 barley, grain written w/log. ŠE, e.g. acc. ŠE-am/ŠE-a-am for âm; also ŠE.UM or ŠE.IM, regardless of case; also poss. šeum [b.f. šê])	noun	13	huehnergard
zâzum (pret. izūz [a-u])	 to divide, separate (intrans.); to divide, divide into shares (trans.), distribute (to/among: ana); to share, take a share (of: ina)	verb	13	huehnergard
zīzum	divided; sharing	verbal_adjective	13	huehnergard
abbūtum	father’s legal status; fatherly attitude	noun	14	huehnergard
aḫḫūtum	brotherhood, brotherliness; status of a brother	noun	14	huehnergard
am-mīnim	why?	pronoun	14	huehnergard
ana mārūtim leqûm	to adopt	idiomatic_expression	14	huehnergard
ana mīnim	why?	pronoun	14	huehnergard
ana/ina warkīt/warkiāt ūmim/ūmī	in future	idiomatic_expression	14	huehnergard
apālum (a-u) 	to answer, respond; to satisfy a demand or claim; to pay (s.th.: acc.; to s.o.: acc. or ana)	verb	14	huehnergard
aššum (with suff. aššumīya, aššumīka, etc.)	 concerning, because of, on account of, for the sake of	preposition	14	huehnergard
aššūtum	marriage; status of a wife	noun	14	huehnergard
awīlūtum	humanity, human species, people; someone, anyone; soldier, worker, status of awīlum	noun	14	huehnergard
ayyum (fem. sing. irreg. ayyītum)	 which?	pronoun	14	huehnergard
ayyumma (fem. ayyītumma) 	whichever, any, some	pronoun	14	huehnergard
Bābilim (log KÁ.DINGIR.RA^ki)	 Babylon	place_name	14	huehnergard
bābum (b.f. bāb; pl. bābū and bābātum; log KÁ) 	opening, door, gate; city quarter	noun	14	huehnergard
bēlūtam epēšum	to rule, exercise lordship/authority	idiomatic_expression	14	huehnergard
bēlūtum (b.f. bēlūt)	 lordship, dominion, rule; position of power; status of owner	noun	14	huehnergard
dâkum (a-u) 	to kill, execute; to defeat	verb	14	huehnergard
dannūtum	strength, power, violence (late, also ‘fortress’)	noun	14	huehnergard
diānum (a-i)	 to judge, give a judgment (dīnum); to start a lawsuit, go to court	verb	14	huehnergard
ê ḫubullim	interest-bearing (loan of) barley	idiomatic_expression	14	huehnergard
emēdum (i) 	to lean against, touch, cling to; to reach, stand near/by; to place or lean (s.th. against s.th.: double acc.); to load, impose (taxes, punishment, etc.: acc.; on s.o.: acc.)	verb	14	huehnergard
gagûm (base gagi-; Sum. lw.; log. GÁ.GI.A, GÁ.GI_4.A)	 cloister, part of the temple area, in which the nadītum women (priestesses) lived	noun	14	huehnergard
igmur/igammar-ma + verb 2	to do [verb 2] completely	idiomatic_expression	14	huehnergard
iknuk/ikannak-ma + idnin/inaddin (etc.)	to give (take, send) something under seal	idiomatic_expression	14	huehnergard
ilūtum	divinity, divine nature, divine power	noun	14	huehnergard
ina warkītim/warkiātim	in (the) future, later on, afterward	idiomatic_expression	14	huehnergard
ina X etlûm	"to forfeit X (Gt stem of elûm ""go up""; dur. 3cs ītelli, 3mp ītellû)"	idiomatic_expression	14	huehnergard
isaddar-ma + verb 2  (sadārum = a-u)	 to do/occur [action of verb 2] regularly 	verb	14	huehnergard
iškarum	work assignment; supplies; delivery items; field on which assigned work is to be done	noun	14	huehnergard
itā (b.f. of itûm; log. ÚS.SA.DU) 	bordering on, beside	preposition	14	huehnergard
itûm (base itā-; b.f. itê and itā; log. ÚS.SA.DU) 	border, neighbor, neighboring field, plot	noun	14	huehnergard
itūr/itâr-ma + verb 2	to do [verb 2] again	idiomatic_expression	14	huehnergard
kīdum	open country	noun	14	huehnergard
kirûm (base kiri-; pl. kiriātum; log. [^giš]KIRI_6 [the ŠAR sign]; Sum. lw.) 	garden, orchard	noun	14	huehnergard
lā (written la-a and la)	 not (w/interrogative pronouns)	adverb	14	huehnergard
mamman (indecl.; occ. also mamma) 	anyone, someone; with a neg.: no one	pronoun	14	huehnergard
mannum	who?	pronoun	14	huehnergard
mārūtum (b.f. mārūt) 	sonship; status of a son (natural or adopted)	noun	14	huehnergard
maškanum	threshing floor	noun	14	huehnergard
mimma	(indecl.) anything, something, all; with a neg.: nothing	pronoun	14	huehnergard
mimma šumšu	anything at all, everything	idiomatic_expression	14	huehnergard
minûm (base mina-) 	what?	pronoun	14	huehnergard
mīnum (base mīn-)	 what?	pronoun	14	huehnergard
mutūtum	position of a husband	noun	14	huehnergard
nēmelum	gain, profit	noun	14	huehnergard
nišūtum	family, relatives	noun	14	huehnergard
qabâm šakānum	to promise, give a pledge	idiomatic_expression	14	huehnergard
qabûm (n.)	(inf. as noun) utterance, saying, command, speech	noun	14	huehnergard
qabûm (v.) (i) 	to say, tell, speak; to command, order; to give orders	verb	14	huehnergard
qarrādūtum	ability in battle, heroism (rare in OB)	noun	14	huehnergard
rēšūtum	slavery; service	noun	14	huehnergard
rubûtum	principality; dominion	noun	14	huehnergard
sadārum (a-u) 	to arrange, put in order; to enter (s.th. into an account)	verb	14	huehnergard
sadrum (sadir-)	 in a row; regular, continual	verbal_adjective	14	huehnergard
šarrūtam epēšum	to exercise kingship, rule as king	idiomatic_expression	14	huehnergard
šarrūtum (b.f. šarrūt; log. LUGAL(-ru)- [e.g. LUGAL(-ru)-tam = šarrūtam])	 kingship; dominion; majesty	noun	14	huehnergard
šērtam emēdum	to impose a penalty, punishment (on s.o.: acc.)	idiomatic_expression	14	huehnergard
šērtum (b.f. šēret) 	penalty, punishment	noun	14	huehnergard
šībūtum (šībūt)	 (old) age; testimony; witness	noun	14	huehnergard
sinnišūtum	womanhood	noun	14	huehnergard
warkītum (b.f. warkīt; pl. warkiātum, often = sing.) 	future, later time, time afterward	noun	14	huehnergard
abullum (fem.; b.f. abul; suff. abulla-; pl. abullātum; log. ABUL [formerly read KÁ.GAL]) 	city gate, entrance gate	noun	15	huehnergard
eleppum (fem.; b.f. elep; suff. eleppa-; pl. eleppētum; log. (^giš)MÁ) 	ship, boat	noun	15	huehnergard
erṣetum (b.f. erṣet; pl. erṣētum; log. KI) 	the earth; land, district, area; ground, earth; the nether world	noun	15	huehnergard
kiam	thus, in this manner	adverb	15	huehnergard
madādum (a-u)	 to measure (out), pay (in a measured amount) (log. Ì.ÁG.E = imaddad)	verb	15	huehnergard
-mi	indicates that the clause of the word to which it is suffixed is part of a direct quotation	particle	15	huehnergard
pānûm (base pānī-; fem. pānītum) 	earlier, former, previous; earliest, first (log. IGI)	adjective	15	huehnergard
šapārum (a-u)	 to send (s.o., e.g. a messenger); to send word, send a message, report; to write; to command, give orders; to administer, govern, oversee; rarely: to convey (goods)	verb	15	huehnergard
ṣibtum (fem.; b.f. ṣibat; pl. ṣibātum; log. MÁŠ; from waṣābum)	 interest	noun	15	huehnergard
umma	as follows (introducing direct quotations)	adverb	15	huehnergard
warādum (a-i = urrad – urid) 	to descend, go/come down	verb	15	huehnergard
waṣābum (a-i = uṣṣab - uṣib)	 to add (to), increase, enlarge; to pay as interest	verb	15	huehnergard
Dumuzi	a god; the name of a month (log. DUMU.ZI)	divine_name	16	huehnergard
etēqum (i)	 to pass along, pass by, advance, elapse; to pass through, across; to exceed, transgress; to avoid	verb	16	huehnergard
ilkam alākum	to perform ‘ilkum’ service, work on ‘ilkum’ land (see ‘ilkum’)	idiomatic_expression	16	huehnergard
ilkum (b.f. ilik; pl ilkū and ilkātum)	 work or service performed, usually on a field, garden, for the state (king) by someone holding the land in tenure from the state; part of the yield of the land, i.e., payment; the land itself; the holder of the land	noun	16	huehnergard
ina X ittaṣṣi	he will forfeit X (Gt dur. 3cs of waṣûm ‘to go out’)	idiomatic_expression	16	huehnergard
lamādum (a; irreg. imper.: limad)	 to learn	verb	16	huehnergard
palāḫum (a; irreg. imper.: pilaḫ)	 to fear, be afraid (of: acc.); to worship, respect, revere	verb	16	huehnergard
palḫum (paliḫ-) 	feared, fearsome; timid, reverential	verbal_adjective	16	huehnergard
petûm (adj.) (peti-; fem. petītum)	 open	verbal_adjective	16	huehnergard
petûm (v.) (e) 	to open (trans.)	verb	16	huehnergard
redûm €	 to escort, conduct, lead, guide; to drive (animals, ships, wagons), follow; to lay claim to; to move along	verb	16	huehnergard
rugbum	roof	noun	16	huehnergard
šanûm (base šani-; fem. šanītum)	 second; other, another; different; as noun: another person, someone else	adjective	16	huehnergard
šaqālum (a-u) 	to weigh out (silver, etc.), pay (log. Ì.LAL.E = išaqqal)	verb	16	huehnergard
šaqlum (šaqil-) 	weighed (out)	verbal_adjective	16	huehnergard
šiqlum (šikil; log. GÍN) 	shekel (1/60 manûm, ca. 8 g.)	noun	16	huehnergard
takālum (a; irreg. imper.: tikal) 	to trust (s.o./s.th.: + ana)	verb	16	huehnergard
taklum (takil-) 	trustworthy, true, reliable	verbal_adjective	16	huehnergard
tebûm (adj.) (tebi-; fem. tebītum)	 standing, erect; under way; rebellious	verbal_adjective	16	huehnergard
tebûm (v.) (e) 	to arise, rise up, stand up; to occur, happen, appear on the scene; to set out	verb	16	huehnergard
têrtam/têrētim epēšum	to perform extispicy	idiomatic_expression	16	huehnergard
têrtum (b.f. têrti; w/suff. têrta-; pl. têrētum; from *tawʾertum; cf. wuʾʾurum ‘to commission’) 	direction, instruction, order, command, commission; extispicy (examination of entrails), extispicy omen, oracle, omen report/diagnosis	noun	16	huehnergard
warkatam parāsum	to investigate the circumstances of a case	idiomatic_expression	16	huehnergard
warkatum (b.f. warkat; pl. warkātum) 	rear, back (part, side; of a building, person, animal); estate, inheritance; circumstances (of a legal case)	noun	16	huehnergard
aḫûm (rel. adj., base aḫī-; fem. aḫītum) 	strange, foreign; hostile; unusual, additional	adjective	17	huehnergard
aḫum b (b.f. aḫ [us. written a-aḫ] or aḫi; pl. rare)	 arm; side, flank; bank (of a river, canal), shore edge; half, first half; 	noun	17	huehnergard
ana pī/āḫatim šakānum	to assign a task	idiomatic_expression	17	huehnergard
anumma	now, hereby, herewith	adverb	17	huehnergard
bēl pī/āḫatim	deputy, delegate; commissioner	idiomatic_expression	17	huehnergard
ēṣidum	harvester (log. ERIN_2.ŠE.KIN.KUD [kud = tar])	noun	17	huehnergard
iddâk (N stem of dâkum, dur. 3cs)	 he/she will be executed	verb	17	huehnergard
inanna	now	adverb	17	huehnergard
kalûm (a)	 to detain, delay, keep in custody; to prevent, hinder (s.o., s.th: acc. from doing: ana or ina + inf.); to refrain (from doing: ana + inf.); to withhold, hold back (s.th.: acc.; from s.o.: ana/dat. or ina)	verb	17	huehnergard
lētum (lēt[i]; pl. rare)	 cheek; side, vicinity, nearby region; authority	noun	17	huehnergard
mišlum (mišil; log. MAŠ) 	half; middle	noun	17	huehnergard
muʾirrum	director (log. GAL.UKKIN.NA)	noun	17	huehnergard
paṭārum (a-u) 	trans.: to loosen, untie, remove, strip; to free, ransom, redeem; to end; intrans.: to break camp; to withdraw, go away, disperse, desert, avoid	verb	17	huehnergard
pīḫatum (or pāḫatum) (b.f. pīḫat, pāhat)	 responsibility, obligation, duty	noun	17	huehnergard
rittum (ritti; suff. ritta; dual rittān)	 hand; possibility	noun	17	huehnergard
ṣab bāb ekallim	palace work force	idiomatic_expression	17	huehnergard
ṣimdatum (ṣimdat; pl. ṣimdātum)	 royal decree; (specific) royal regulation (also ṣimdat šarrim)	noun	17	huehnergard
šīmum (šīm[I; pl. šīmū and šīmātum; log ŠÁM)	 purchase; price; article purchased (cf. šâmum)	verbal_adjective	17	huehnergard
šumma	if	conjunction	17	huehnergard
"uḫtappid (D-stem perf. 3cs of ḫuppudum ""to blind"")"	he has blinded 	verb	17	huehnergard
warki (w/suff. warkīšu, etc.)	 locally: behind, in back of; temporally: after, after the departure of, after the death of	preposition	17	huehnergard
-am/-m/-nim (prn.)	to/for me (verbal dat. suff. 1cs)	pronoun	18	huehnergard
ana šīmtim alākum	to die (lit.: to go to one’s fate; a euphemism)	idiomatic_expression	18	huehnergard
ana X zâzum	to divide, share according to X	idiomatic_expression	18	huehnergard
-anni/-nni/-ninni	me (verbal acc. suff. 1cs)	pronoun	18	huehnergard
asûm (gen. asîm or asêm, acc. asâm or asiam; b.f. asi[?]; pl. asû; log. A.ZU; Sum. lw.)	 physician	noun	18	huehnergard
baqārum  (a-u) 	to claim, lay claim to; to contest, bring suit (against s.o.: acc.; for s.th.: acc. or aššum or ana)	verb	18	huehnergard
baqrī rašûm	to incur legal claims	idiomatic_expression	18	huehnergard
baqrū	(usu. pl.) legal claims	noun	18	huehnergard
dimtum (dimat; dimātum)	 tower; fortified area, settlement; district	noun	18	huehnergard
ḫalālum (a-u)	 to hang, suspend (trans.)	verb	18	huehnergard
ḫamšum (ḫamuš-)	 fifth	adjective	18	huehnergard
idū	(pl.) payment	noun	18	huehnergard
išteber	he has broken (Š-stem perf. 3cs of ebērum)	verb	18	huehnergard
kabātum (i)	 to be(come) heavy, fat; to be(come) important, honored; to be(come) difficult, painful	verb	18	huehnergard
kabtum (kabit-)	 heavy, fat; difficult, painful; important, serious, honored	verbal_adjective	18	huehnergard
karzillum (karzil; log. GÍR.NI; Sum. lw.)	 physician’s lancet	noun	18	huehnergard
makkūrum (makkūr; log. NÍG.GA)	 property, assets, valuables, goods	noun	18	huehnergard
mitḫāriš	equally, to the same extent, each one; everywhere	adverb	18	huehnergard
muškēnum (muškēn; pl. muškēnū; log MAŠ.GAG.EN or MAŠ.EN.GAG) 	dependent, poor person, serf, commoner	noun	18	huehnergard
nakkaptum (nakkapti; suff. nakkapta-; pl. nakkapātum)	 temple (of the head)	noun	18	huehnergard
napāṣum (a-u) 	to hurl, dash down; to kick, strike; to smash, crush, demolish; to clear (accounts)	verb	18	huehnergard
nasāqum (a-u) 	to choose, select	verb	18	huehnergard
nasqum (nasiq-)	 selected, chosen, choice, precious	verbal_adjective	18	huehnergard
nukaribbum (nukarib; pl. nukaribbātum; NU.[^giš]KIRI_6; Sum. lw.)	 gardener	noun	18	huehnergard
palāšum (a-u) 	to pierce, break through, into	verb	18	huehnergard
pilšum (piliš; pl. pilšū)	 breach, hole	noun	18	huehnergard
PN+ šumšū, šumša	PN by name, a certain PN	idiomatic_expression	18	huehnergard
riābum (a-i)	 to replace, give back	verb	18	huehnergard
šarākum (a-u) 	to give, bestow	verb	18	huehnergard
simmum (simmi; suff. simma-)	 wound; (skin) disease, carbuncle	noun	18	huehnergard
šīmtum (šīmat or šīmti; pl. šīmātum)	 what is established, fixed, decreed (by the gods), fate, destiny	noun	18	huehnergard
-šināšim	to/for them (verbal dat. suff. 3fp)	pronoun	18	huehnergard
-šināti	them (verbal acc. suff. 3fp)	pronoun	18	huehnergard
siparrum (log. ZABAR; Sum. lw.)	 bronze	noun	18	huehnergard
širiktum	gift, dowry	noun	18	huehnergard
terḫatum (terḫat)	 bride-price	noun	18	huehnergard
ubirrū	they confirmed, certified (D-stem pret. 3mp of bârum ‘to turn up, be durable’)	verb	18	huehnergard
urabba	he will raise, tend (D-stem dur. 3cs of rabûm)	verb	18	huehnergard
uštamīt	he has killed (Š-stem perf. 3cs of mâtum)	verb	18	huehnergard
zaqāpum (a-u)	 to erect, set up; to plant (a garden), prepare (a garden, field) for planting	verb	18	huehnergard
zīttum (zītti; suff. zītta-; pl. zīzātu; subst. fem. verbal adj. of zâzum, zittum in dictionaries; log. ḪA.LA)	 share (of an inheritance); inheritance	noun	18	huehnergard
bašītum (bašīt) 	moveable property, valuables, goods; stock, what’s on hand	noun	19	huehnergard
bīšum (bīš[i])	 moveable property, valuables, goods; stock, what’s on hand	noun	19	huehnergard
bušûm (buši; pl. bušû)	 moveable property, valuables, goods; stock, what’s on hand	noun	19	huehnergard
būšum (būš[i]; pl. būšū)	 moveable property, valuables, goods; stock, what’s on hand	noun	19	huehnergard
erēšum a (i)	 to ask, request (s.th.: acc.; from s.o.: acc. or itti), desire, wish	verb	19	huehnergard
idi (or ina/ana idi) (w/ sf. idī-)	 near, next to, beside, on the side of, with; log. Á, Á.BI	preposition	19	huehnergard
idum (fem. and masc.; b.f. idi, rarely id; dual idān; pl. idū and idātum; log. Á)	 arm; side, edge; strength; goal, purpose; sg. and m.pl. (log. also Á.BI): wages, hire, rent	noun	19	huehnergard
immerum (immer; pl. immerū or immerātum; log. UDU)	 sheep, ram	noun	19	huehnergard
kanīkum (kanīk; pl. kanīkātum)	 sealed document	noun	19	huehnergard
maḫīrum (maḫīr; pl. maḫīrū and maḫīrātum)	 market place; business activity; rate; purchase price	noun	19	huehnergard
mala (mali, mal)	according to, as much as, as large as, to the same amount/degree as; as a conj.: as much/many as, everyone/everything that, whoever, whatever	preposition	19	huehnergard
mimma mala (=mimma ša)	anything that/which, whatever	pronoun	19	huehnergard
nabrûm / nabrû	(us. pl.) the name of a festival	noun	19	huehnergard
niqûm (base niqi-; log. SISKUR)	 offering, sacrifice	noun	19	huehnergard
pašārum (a-u)	 to loosen, release, set free, dissolve; to sell; to explain, clarify; to report, reveal (a dream)	verb	19	huehnergard
râmum (a)	 to love, care for	verb	19	huehnergard
sakārum (also zaqārum) (a-u)	 to declare, mention; to speak, address; to name, invoke; nīš X zakārum: to swear by X (lit. to invoke the life of X)	verb	19	huehnergard
šamallûm (šamallê; base šamallā-; Sum. lw.)	 trading agent; assistant; apprentice	noun	19	huehnergard
šurqum	theft, stolen property	noun	19	huehnergard
tamkārum (tamkār; pl. tamkārū; log. DAM.GÀR)	 merchant, trader	noun	19	huehnergard
utār (târum D stem Dur. 3cs)	 he/she will give back, send back, put back, return, restore; 3mp utarrū	verb	19	huehnergard
warḫum (waraḫ; pl. warḫū; log. ITI/ITU)	 month; new moon	noun	19	huehnergard
agûm (base agā-; log. AGA; Sum. lw.)	 crown, tiara	noun	20	huehnergard
aḫātum (aḫāt; pl. aḫḫātum; log. NIN) 	sister	noun	20	huehnergard
ālikum	traveler, messenger (masc.)	noun	20	huehnergard
aplum (apil;) log IBILA [dumu+uš])	 heir, (oldest) son	noun	20	huehnergard
aplūtum (aplūt; log. IBILA)	 position of heir; inheritance, estate	noun	20	huehnergard
bānûm (fem. bānītum)	 creator (participle)	noun	20	huehnergard
bītum epšum	built-on property	noun	20	huehnergard
ēpištum	doer, worker (fem.) (participle)	noun	20	huehnergard
ilānū	(a certain group of) gods (us. the active group of high gods)	noun	20	huehnergard
imērum (imēr; pl. imērū; log. ANŠE) 	(male) donkey	noun	20	huehnergard
nādinum	the one who gives/gave, the seller (masc., participle)	noun	20	huehnergard
nadītim (nadīt; pl. nadiātum)	 fallow, bare land; (log. LUKUR [munus+me]) a woman dedicated to a god and not permitted to have children; us. lived in a gagûm	noun	20	huehnergard
pāqidum	inspector (participle, masc.)	noun	20	huehnergard
pāris purussê	one (masc.) who makes decisions (participle)	noun	20	huehnergard
rēdītum (rēdīt or rēdiet)	 (legitimate) claimant, heir (fem.)	noun	20	huehnergard
rēdûm (base rēdi-; pl. rēdû; participle of redûm; log. AGA.ÚS)	 foot-soldier, attendant	noun	20	huehnergard
ṣābitum	captor (participle)	noun	20	huehnergard
šadādum (a-u)	 to pull, draw, drag, tow, haul, convey; to bear; to stretch; to pull, tear out/off; to measure, survey (a field)	verb	20	huehnergard
šaddum (šadid-)	 taut; elongated	verbal_adjective	20	huehnergard
šādidum	boat-hauler (participle)	noun	20	huehnergard
šapākum (a-u)	 to heap up, pile up, store; to pour	verb	20	huehnergard
šāpir mātim	governor	noun	20	huehnergard
šāpirum (šāpir; participle of šapārum)	 overseer; governor, prefect	noun	20	huehnergard
šulmānum	greeting-gift	noun	20	huehnergard
wālidūtum	parents (lit. those who begot) (participle)	noun	20	huehnergard
wardūtum (wardūt)	 slavery; position of slave	noun	20	huehnergard
wāšibūt ālim	city-dwellers (participle)	noun	20	huehnergard
adi X-šu	X-fold (e.g. 3-fold)	idiomatic_expression	21	huehnergard
aḫam nadûm	to be negligent (lit.: to let down one’s arm)	idiomatic_expression	21	huehnergard
awûm (u)	 to speak (not in the G-stem in OB)	verb	21	huehnergard
bâʾum (a)	 to walk along	verb	21	huehnergard
dūrum (dūr[i]; pl. dūrānū; log. BÀD)	 wall	noun	21	huehnergard
eʾēlum (i)	 to bind	verb	21	huehnergard
elûm (v.)	(i) to go up, ascend; w/ventive: to come up, emerge, appear	verb	21	huehnergard
elûm (verb. adj.)	(eli-; fem. elītum) high, tall, exalted, upper	verbal_adjective	21	huehnergard
êrum	(e) to awaken	verb	21	huehnergard
ewûm	(i) to become	verb	21	huehnergard
īnīn ana X našûm	to look at X, covet X	idiomatic_expression	21	huehnergard
īnīn našûm	to look up	idiomatic_expression	21	huehnergard
inūḫ	pret. 3cs nâḫum ‘to rest’	verb	21	huehnergard
inuḫḫū	dur. 3cp nâḫum ‘to rest’	verb	21	huehnergard
ise (*-)	imper. ms nesûm ‘to become far away’	verb	21	huehnergard
isinnum	festival; log. EZEN	noun	21	huehnergard
kiṣir libbim	anger	idiomatic_expression	21	huehnergard
kiṣir šadîm	bedrock	idiomatic_expression	21	huehnergard
kiṣrum (kiṣir; pl. kiṣrū)	 knot; joint (of the body or a plant); constriction, concentration; lump; band, contingent (of soldiers); payment (for rent, services, etc.; often pl.); region, section	noun	21	huehnergard
lawûm (v.) (i)	 to go around, circle, encircle; to surround, beseige	verb	21	huehnergard
lawûm (verb. adj.) (lawi)	 encircled, surrounded	verb	21	huehnergard
lemēnum (e or i; an e-type verb)	 to become evil, angry; eltemnakkim / altamnakkim: I have become angry with you (fs)	verb	21	huehnergard
leʾûm (*-) (verb. adj.) 	 ‘to be able’ (verb. Adj.)	verbal_adjective	21	huehnergard
leʾûm (v.) (i/e; gen. leʾêm)	 to be able (to do: + acc. Infin.; e.g. epēš(am ša) bītim eleʾʾi ‘I am able to build the house’); to become an expert, a master; to overpower (s.o.), win (a legal case)	verb	21	huehnergard
leyûm (i/e; gen. leyêm/lêm)	 to be able (to do: + acc. Infin.; e.g. epēš(am ša) bītim eleʾʾi ‘I am able to build the house’); to become an expert, a master; to overpower (s.o.), win (a legal case)	verb	21	huehnergard
lēyûm	participle ms able, capable, expert	noun	21	huehnergard
Mama	a goddess (spelled ^d ma-ma)	divine_name	21	huehnergard
meḫrum (meḫer; pl. meḫrū and meḫrētum)	 copy (of a document), list; answer, reply; equivalent, fellow, person of the same rank; weir	noun	21	huehnergard
mesûm (e or i)	 to wash	verb	21	huehnergard
naʾādum (i)	 to pay attention, heed (s.o.: ana/dat.); to be concerned, worried (about: ana/dat.); in hendiadys: to do (s.th.) carefully	verb	21	huehnergard
nādum (nād-)	 attentive, pious; careful	verbal_adjective	21	huehnergard
naʾdum (naʾid-)	 attentive, pious; careful	verbal_adjective	21	huehnergard
nadûm (v.) (i)	 to throw (down), set (down), lay (down), pour (s.th. into s.th.); to neglect, abandon, ignore; to knock out (e.g. a tooth); to lay a criminal charge (against: eli)	verb	21	huehnergard
nadûm (verb. adj.) (nadi-; fem. nadītum)	 abandoned; fallow; laid, lying, situated; subst. fem. nadītum: special priestess not allowed to bear children	verbal_adjective	21	huehnergard
nadûm (verb. adj.) (nadi)	 verb. adj. ‘to put down’	verbal_adjective	21	huehnergard
nâḫum (a-u)	 to rest	verb	21	huehnergard
nakārum (i) 	to become different, strange; to become hostile, engage in hostilities; to change (intrans.); to deny, dispute (s.th.: acc.; to/with s.o.: acc.)	verb	21	huehnergard
našûm (i)	 to lift (up), raise; to carry, bear, support; to transport, deliver; to take, accept, receive (from: ina qāt); to remove	verb	21	huehnergard
nawûm (v.) (i)	 to be abandoned, in ruins	verb	21	huehnergard
nawûm (verb. adj.) (nawi)	 verb. adj. ‘to be abandoned, in ruins’	verb	21	huehnergard
nesûm (v.) [e]	 to become far away	verb	21	huehnergard
nesûm (verb. adj.) (nesi)	 ms nesûm ‘to become far away’	verbal_adjective	21	huehnergard
nêʾum	to turn around	verb	21	huehnergard
nīlum (nīl)	 verb. adj. ms ‘to lie down’	verbal_adjective	21	huehnergard
qerbum (qerub-; fp qerbētum/qerbātum)	 near, at hand, close by; as noun: relative	verbal_adjective	21	huehnergard
qerēbum (e or i; an e-type verb; perf. 3mp iqterbū/iqtarbū)	 to draw near, approach (+ ana / dat.)	verb	21	huehnergard
ša libbim nadûm	to have a miscarriage	idiomatic_expression	21	huehnergard
sarrum (fem. sg. irreg.: sartum)	 false	adjective	21	huehnergard
šebērum (e or i; an e-type verb; dur. tešebber [also tašabbir])	 to break	verb	21	huehnergard
ṣeḫērum (e or i; an e-type verb; dur. 3fp iṣeḫḫerā)	 to diminish, become small, few, decrease	verb	21	huehnergard
šinnum (fem.; šinni; sf. šinna-; dual šinnān; log. ZÚ [= the KA sign])	 tooth; for ‘teeth’ the dual (i.e. two rows) is used	noun	21	huehnergard
uṭṭetum (uṭṭet)	 barleycorn; the grain, a unit of measurement (.05 gram); log. ŠE	noun	21	huehnergard
warûm (v.) (u)	 to lead	verb	21	huehnergard
warûm (verb. adj.) (wari)	 verb. adj. ms  ‘to lead’	verb	21	huehnergard
waṣûm (v.) (i)	 to go out, go forth, depart, leave, escape; to protrude, grow; w/ventive: to come forth, out emerge, appear	verb	21	huehnergard
waṣûm (verb. adj.) (waṣi)	 verb. adj. ms gone (forth), outside; protruding	verbal_adjective	21	huehnergard
watûm (v.) (a)	 to find	verb	21	huehnergard
watûm (verb. adj.) (wati)	 verb. adj. ms watûm ‘to find’	verbal_adjective	21	huehnergard
wiārum (*-) (a-i)	 to advance (infinitive, hypothetical form)	verb	21	huehnergard
wiāṣum (*-) (a-i)	 to become (too) little	verb	21	huehnergard
